输入商标名,历史商标名,输入商标编号,历史商标编号,两个商标有共同小项？,汉字编辑距离相似度,拼音相似度,汉字包含被包含,汉字排列组合,汉字含义相近,汉字字形相似度,英文编辑距离相似度,英文包含被包含,英文排列组合,数字完全匹配,商标状态,历史商标状态,是否相似商标
永之星,行知行,17173450,15442595,True,0.0,0.85,0.0,0.0,0.02,0.19,0.0,0.0,0.0,0.0,1,1,1
永之星,辉之星,17173450,15438918,False,0.67,0.69,0.67,0.67,0.92,0.62,0.0,0.0,0.0,0.0,1,1,1
永之星,行知行,17173450,15442599,False,0.0,0.85,0.0,0.0,0.02,0.19,0.0,0.0,0.0,0.0,1,1,1
永之星,广之行,17173450,15413495,False,0.33,0.79,0.33,0.33,0.62,0.42,0.0,0.0,0.0,0.0,1,1,1
永之星,晚之星,17173450,16673600,False,0.67,0.77,0.67,0.67,0.92,0.42,0.0,0.0,0.0,0.0,1,1,1
永之星,安之星,17173450,16675927,False,0.67,0.77,0.67,0.67,0.91,0.89,0.0,0.0,0.0,0.0,1,1,1
永之星,永智鑫,17173450,16841723,False,0.33,0.92,0.33,0.33,0.62,0.39,0.0,0.0,0.0,0.0,1,1,1
永之星,徽之星,17173450,16836925,False,0.67,0.69,0.67,0.67,0.92,0.57,0.0,0.0,0.0,0.0,1,1,1
永之星,徽之星,17173450,16836821,False,0.67,0.69,0.67,0.67,0.92,0.57,0.0,0.0,0.0,0.0,1,1,1
永之星,徽之星,17173450,16836344,False,0.67,0.69,0.67,0.67,0.92,0.57,0.0,0.0,0.0,0.0,1,0,1
永之星,徽之星,17173450,16837020,False,0.67,0.69,0.67,0.67,0.92,0.57,0.0,0.0,0.0,0.0,1,1,1
永之星,徽之星,17173450,16836415,False,0.67,0.69,0.67,0.67,0.92,0.57,0.0,0.0,0.0,0.0,1,1,1
永之星,君之星,17173450,16833970,False,0.67,0.77,0.67,0.67,0.91,0.58,0.0,0.0,0.0,0.0,1,1,1
永之星,龙之行,17173450,1645888,False,0.33,0.92,0.33,0.33,0.63,0.64,0.0,0.0,0.0,0.0,1,1,1
永之星,安之星,17173450,4498693,False,0.67,0.77,0.67,0.67,0.91,0.89,0.0,0.0,0.0,0.0,1,1,1
永之星,美之星,17173450,16814363,False,0.67,0.69,0.67,0.67,0.91,0.61,0.0,0.0,0.0,0.0,1,1,1
永之星,星之宝,17173450,16806127,False,0.33,0.54,0.33,0.67,0.62,0.66,0.0,0.0,0.0,0.0,1,0,1
永之星,永兴旺,17173450,16271529,False,0.33,0.57,0.33,0.33,0.59,0.74,0.0,0.0,0.0,0.0,1,1,1
永之星,建兴之星,17173450,16782643,False,0.5,0.61,0.67,0.5,0.86,0.0,0.0,0.0,0.0,0.0,1,0,1
永之星,育智星,17173450,16759495,False,0.33,0.77,0.33,0.33,0.6,0.51,0.0,0.0,0.0,0.0,1,1,1
永之星,永隆兴,17173450,11334006,False,0.33,0.71,0.33,0.33,0.6,0.69,0.0,0.0,0.0,0.0,1,1,1
永之星,窗之星,17173450,11344810,False,0.67,0.73,0.67,0.67,0.92,0.62,0.0,0.0,0.0,0.0,1,1,1
永之星,星之乐,17173450,11351396,False,0.33,0.54,0.33,0.67,0.62,0.67,0.0,0.0,0.0,0.0,1,1,1
永之星,先知行,17173450,11357661,False,0.0,0.69,0.0,0.0,0.03,0.19,0.0,0.0,0.0,0.0,1,1,1
永之星,星之恋,17173450,11388506,False,0.33,0.62,0.33,0.67,0.6,0.63,0.0,0.0,0.0,0.0,1,1,1
永之星,水之星,17173450,15604435,False,0.67,0.69,0.67,0.67,0.92,0.87,0.0,0.0,0.0,0.0,1,1,1
永之星,兴之赢,17173450,15603241,False,0.33,0.77,0.33,0.33,0.61,0.43,0.0,0.0,0.0,0.0,1,1,1
永之星,兴之赢,17173450,15603657,False,0.33,0.77,0.33,0.33,0.61,0.43,0.0,0.0,0.0,0.0,1,1,1
永之星,渔之行,17173450,16189295,False,0.33,0.77,0.33,0.33,0.6,0.37,0.0,0.0,0.0,0.0,1,1,1
永之星,勇行,17173450,16183941,False,0.0,0.69,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,1,1,1
永之星,汉之星,17173450,16143394,False,0.67,0.77,0.67,0.67,0.91,0.73,0.0,0.0,0.0,0.0,1,1,1
永之星,夜之星,17173450,16175649,False,0.67,0.77,0.67,0.67,0.92,0.66,0.0,0.0,0.0,0.0,1,1,1
永之星,永恒芝星,17173450,16173719,False,0.5,0.72,0.33,0.5,0.86,0.0,0.0,0.0,0.0,0.0,1,0,1
永之星,多智行,17173450,12831392,False,0.0,0.69,0.0,0.0,0.1,0.33,0.0,0.0,0.0,0.0,1,1,1
永之星,多智行,17173450,12831328,False,0.0,0.69,0.0,0.0,0.1,0.33,0.0,0.0,0.0,0.0,1,1,1
永之星,海之星,17173450,16564271,False,0.67,0.69,0.67,0.67,0.92,0.63,0.0,0.0,0.0,0.0,1,1,1
永之星,妙智星,17173450,16555965,False,0.33,0.69,0.33,0.33,0.58,0.48,0.0,0.0,0.0,0.0,1,0,1
永之星,永兴,17173450,16530563,False,0.33,0.69,0.33,0.33,0.63,0.0,0.0,0.0,0.0,0.0,1,1,1
永之星,喜之之,17173450,16538249,False,0.33,0.38,0.33,0.33,0.6,0.7,0.0,0.0,0.0,0.0,1,1,1
永之星,智汇之星,17173450,16543738A,False,0.5,0.56,0.67,0.5,0.86,0.0,0.0,0.0,0.0,0.0,1,1,1
永之星,骏之星,17173450,3656066,False,0.67,0.77,0.67,0.67,0.92,0.63,0.0,0.0,0.0,0.0,1,1,1
永之星,新之星,17173450,4685126,False,0.67,0.77,0.67,0.67,0.92,0.58,0.0,0.0,0.0,0.0,1,1,1
永之星,海之星,17173450,11236115,False,0.67,0.69,0.67,0.67,0.92,0.63,0.0,0.0,0.0,0.0,1,1,1
永之星,星之航,17173450,11254618,False,0.33,0.69,0.33,0.67,0.61,0.6,0.0,0.0,0.0,0.0,1,1,1
永之星,永兴,17173450,1562824,False,0.33,0.69,0.33,0.33,0.63,0.0,0.0,0.0,0.0,0.0,1,1,1
永之星,天之星,17173450,11321631,False,0.67,0.69,0.67,0.67,0.93,0.62,0.0,0.0,0.0,0.0,1,1,1
永之星,喜之星,17173450,4665934,False,0.67,0.69,0.67,0.67,0.92,0.59,0.0,0.0,0.0,0.0,1,1,1
永之星,澳之星,17173450,4649403,False,0.67,0.77,0.67,0.67,0.91,0.6,0.0,0.0,0.0,0.0,1,1,1
永之星,永祥兴,17173450,4648013,False,0.33,0.67,0.33,0.33,0.62,0.58,0.0,0.0,0.0,0.0,1,1,1
永之星,永祥兴,17173450,4648014,False,0.33,0.67,0.33,0.33,0.62,0.58,0.0,0.0,0.0,0.0,1,1,1
永之星,永祥兴,17173450,4648152,False,0.33,0.67,0.33,0.33,0.62,0.58,0.0,0.0,0.0,0.0,1,1,1
永之星,永祥兴,17173450,4648011,False,0.33,0.67,0.33,0.33,0.62,0.58,0.0,0.0,0.0,0.0,1,1,1
