输入商标名,历史商标名,输入商标编号,历史商标编号,所属大类,两个商标有共同小项？,汉字编辑距离相似度,拼音相似度,汉字包含被包含,汉字排列组合,汉字含义相近,汉字字形相似度,英文编辑距离相似度,英文包含被包含,英文排列组合,数字完全匹配,商标状态,历史商标状态,是否相似商标
黛茵婷,兰黛婷,16538872,12752307,25,True,0.33,0.58,0.33,0.67,0.63,0.58,0.0,0.0,0.0,0.0,1,1,1
黛茵婷,婷黛儿,16538872,15287489,25,True,0.0,0.08,0.33,0.67,0.03,0.53,0.0,0.0,0.0,0.0,1,1,1
戈伦蒂娜,蒂伦娜,16590379,12348160,25,True,0.5,0.58,0.25,0.75,0.85,0.0,0.0,0.0,0.0,0.0,1,1,1
戈伦蒂娜,仙伦蒂娜,16590379,16556634,25,True,0.75,0.71,0.75,0.75,0.92,0.67,0.0,0.0,0.0,0.0,1,1,1
戈伦蒂娜,歌伦迪赛,16590379,14849501,25,True,0.25,0.85,0.25,0.25,0.48,0.33,0.0,0.0,0.0,0.0,1,1,1
靓际,妮靓极;TOP BEAUTY,18737451,1565550,25,True,0.33,0.7,0.5,0.33,0.6,0.0,0.0,0.0,0.0,0.0,1,1,1
靓际,静合寂,18737451,16383240,25,True,0.0,0.7,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,1,1,1
富橙,义福城,18760636,8638774,25,True,0.0,0.73,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,1,1,1
富橙,复衣城,18760636,17183764,25,True,0.0,0.73,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,1,1,1
英澳娜,英卡娜,16642849,15359732,25,True,0.67,0.8,0.33,0.67,0.92,0.76,0.0,0.0,0.0,0.0,1,1,1
英澳娜,樱花娜,16642849,12206371,25,True,0.33,0.73,0.33,0.33,0.59,0.63,0.0,0.0,0.0,0.0,1,1,1
英澳娜,俏英娜,16642849,7749257,25,True,0.33,0.42,0.33,0.67,0.6,0.8,0.0,0.0,0.0,0.0,1,1,1
英澳娜,法澳娜,16642849,14855963,25,True,0.67,0.6,0.67,0.67,0.91,0.62,0.0,0.0,0.0,0.0,1,1,1
英澳娜,樱黛娜,16642849,13713775,25,True,0.33,0.82,0.33,0.33,0.64,0.64,0.0,0.0,0.0,0.0,1,1,1
英澳娜,樱珠娜,16642849,8185499,25,True,0.33,0.73,0.33,0.33,0.62,0.63,0.0,0.0,0.0,0.0,1,1,1
英澳娜,奥茵娜,16642849,16538861,25,True,0.33,0.3,0.33,0.33,0.61,0.9,0.0,0.0,0.0,0.0,1,1,1
英澳娜,樱露娜,16642849,15457673,25,True,0.33,0.8,0.33,0.33,0.61,0.22,0.0,0.0,0.0,0.0,1,1,1
英澳娜,樱纤娜,16642849,15459073,25,True,0.33,0.75,0.33,0.33,0.61,0.56,0.0,0.0,0.0,0.0,1,1,1
英澳娜,英歌娜,16642849,12993621,25,True,0.67,0.8,0.33,0.67,0.92,0.8,0.0,0.0,0.0,0.0,1,1,1
英澳娜,澳思娜,16642849,6404029,25,True,0.33,0.4,0.33,0.67,0.6,0.6,0.0,0.0,0.0,0.0,1,1,1
英澳娜,英美娜,16642849,13251032,25,True,0.67,0.73,0.33,0.67,0.91,0.82,0.0,0.0,0.0,0.0,1,1,1
英澳娜,樱诗娜,16642849,12136942,25,True,0.33,0.73,0.33,0.33,0.59,0.6,0.0,0.0,0.0,0.0,1,1,1
英澳娜,澳香娜,16642849,16386681,25,True,0.33,0.36,0.33,0.67,0.6,0.81,0.0,0.0,0.0,0.0,1,1,1
英澳娜,樱蒂娜,16642849,15780391,25,True,0.33,0.8,0.33,0.33,0.66,0.61,0.0,0.0,0.0,0.0,1,1,1
佩玛仕,亚玛仕,16591712,9992443,25,True,0.67,0.7,0.67,0.67,0.91,0.61,0.0,0.0,0.0,0.0,1,1,1
佩玛仕,牧马仕,16591712,9940445,25,True,0.33,0.7,0.33,0.33,0.63,0.48,0.0,0.0,0.0,0.0,1,1,1
佩玛仕,培诺诗,16591712,13583120,25,True,0.0,0.73,0.0,0.0,0.04,0.41,0.0,0.0,0.0,0.0,1,1,1
佩玛仕,圣玛诗,16591712,12374004,25,True,0.33,0.67,0.33,0.33,0.62,0.54,0.0,0.0,0.0,0.0,1,1,1
佩玛仕,铁玛仕,16591712,12339206,25,True,0.67,0.7,0.67,0.67,0.91,0.6,0.0,0.0,0.0,0.0,1,1,1
佩玛仕,玛澜仕,16591712,16461810,25,True,0.33,0.5,0.33,0.67,0.61,0.59,0.0,0.0,0.0,0.0,1,1,1
佩玛仕,索马仕,16591712,13146477,25,True,0.33,0.7,0.33,0.33,0.6,0.38,0.0,0.0,0.0,0.0,1,1,1
佩玛仕,图马仕,16591712,13146682,25,True,0.33,0.7,0.33,0.33,0.65,0.39,0.0,0.0,0.0,0.0,1,1,1
